priority,user_agent,screen_width,screen_height,color_depth,timezone_offset,language,platform,market_share_estimate,year_min,year_max
1019,"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:24.0) Gecko/20100101 Firefox/24.0",1920,1080,32,-180,ru-RU,Win32,0.0451,2012,2014
1020,"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:24.0) Gecko/20100101 Firefox/24.0",1920,1080,32,-120,ru-RU,Win32,0.0442,2012,2014
1021,"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:24.0) Gecko/20100101 Firefox/24.0",1920,1080,32,-240,ru-RU,Win32,0.0433,2012,2014
1022,"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:24.0) Gecko/20100101 Firefox/24.0",1920,1080,32,0,ru-RU,Win32,0.0424,2012,2014
1023,"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:24.0) Gecko/20100101 Firefox/24.0",1920,1080,32,-420,en-US,Win32,0.0416,2012,2014
1024,"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:24.0) Gecko/20100101 Firefox/24.0",1920,1080,32,-480,en-US,Win32,0.0407,2012,2014
1025,"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:24.0) Gecko/20100101 Firefox/24.0",1920,1080,32,-360,en-US,Win32,0.0399,2012,2014
1026,"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:24.0) Gecko/20100101 Firefox/24.0",1280,800,32,0,en-US,Win32,0.039,2012,2014
1027,"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:24.0) Gecko/20100101 Firefox/24.0",1280,800,32,-300,en-US,Win32,0.0382,2012,2014
1028,"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:24.0) Gecko/20100101 Firefox/24.0",1280,800,32,60,en-US,Win32,0.0375,2012,2014
1029,"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:24.0) Gecko/20100101 Firefox/24.0",1280,800,32,-180,ru-RU,Win32,0.0367,2012,2014
1030,"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:24.0) Gecko/20100101 Firefox/24.0",1280,800,32,-120,ru-RU,Win32,0.036,2012,2014
1031,"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:24.0) Gecko/20100101 Firefox/24.0",1024,768,24,0,en-US,Win32,0.0352,2012,2014
1032,"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:24.0) Gecko/20100101 Firefox/24.0",1024,768,24,-300,en-US,Win32,0.0345,2012,2014
1033,"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:24.0) Gecko/20100101 Firefox/24.0",1024,768,24,60,en-US,Win32,0.0338,2012,2014
1034,"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:24.0) Gecko/20100101 Firefox/24.0",1024,768,24,-180,ru-RU,Win32,0.0331,2012,2014
1035,"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:24.0) Gecko/20100101 Firefox/24.0",1024,768,24,-120,ru-RU,Win32,0.0325,2012,2014
1036,"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:24.0) Gecko/20100101 Firefox/24.0",1440,900,32,0,en-US,Win32,0.0318,2012,2014
1037,"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:24.0) Gecko/20100101 Firefox/24.0",1440,900,32,-300,en-US,Win32,0.0312,2012,2014
1038,"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:24.0) Gecko/20100101 Firefox/24.0",1440,900,32,60,en-US,Win32,0.0306,2012,2014
1039,"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:24.0) Gecko/20100101 Firefox/24.0",1440,900,32,-180,ru-RU,Win32,0.0299,2012,2014
1040,"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:24.0) Gecko/20100101 Firefox/24.0",1440,900,32,-120,ru-RU,Win32,0.0293,2012,2014
1041,"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0",1366,768,32,0,en-US,Win32,0.0287,2013,2014
1042,"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0",1366,768,32,-300,en-US,Win32,0.0281,2013,2014
1043,"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0",1366,768,32,60,en-US,Win32,0.0276,2013,2014
1044,"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0",1366,768,32,-180,ru-RU,Win32,0.027,2013,2014
1045,"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0",1366,768,32,-120,ru-RU,Win32,0.0265,2013,2014
1046,"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0",1366,768,32,-240,ru-RU,Win32,0.0259,2013,2014
1047,"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0",1366,768,32,0,ru-RU,Win32,0.0254,2013,2014
1048,"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0",1366,768,32,-420,en-US,Win32,0.0249,2013,2014
1049,"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0",1366,768,32,-480,en-US,Win32,0.0244,2013,2014
1050,"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0",1920,1080,32,0,en-US,Win32,0.0239,2013,2014
1051,"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0",1920,1080,32,-300,en-US,Win32,0.0234,2013,2014
1052,"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0",1920,1080,32,60,en-US,Win32,0.0229,2013,2014
1053,"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0",1920,1080,32,-180,ru-RU,Win32,0.0225,2013,2014
1054,"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0",1920,1080,32,-120,ru-RU,Win32,0.022,2013,2014
1055,"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0",1920,1080,32,-240,ru-RU,Win32,0.0216,2013,2014
1056,"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0",1280,800,32,0,en-US,Win32,0.0211,2013,2014
1057,"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0",1280,800,32,-300,en-US,Win32,0.0207,2013,2014
1058,"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0",1280,800,32,-180,ru-RU,Win32,0.0203,2013,2014
1059,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/536.30.1 (KHTML, like Gecko) Version/6.0.5 Safari/536.30.1",1440,900,24,0,en-US,MacIntel,0.0199,2012,2014
1060,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/536.30.1 (KHTML, like Gecko) Version/6.0.5 Safari/536.30.1",1440,900,24,-300,en-US,MacIntel,0.0195,2012,2014
1061,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/536.30.1 (KHTML, like Gecko) Version/6.0.5 Safari/536.30.1",1440,900,24,60,en-US,MacIntel,0.0191,2012,2014
1062,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/536.30.1 (KHTML, like Gecko) Version/6.0.5 Safari/536.30.1",1440,900,24,-180,ru-RU,MacIntel,0.0187,2012,2014
1063,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/536.30.1 (KHTML, like Gecko) Version/6.0.5 Safari/536.30.1",1440,900,24,-120,ru-RU,MacIntel,0.0183,2012,2014
1064,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/536.30.1 (KHTML, like Gecko) Version/6.0.5 Safari/536.30.1",1440,900,24,-240,ru-RU,MacIntel,0.0179,2012,2014
1065,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/536.30.1 (KHTML, like Gecko) Version/6.0.5 Safari/536.30.1",1440,900,24,-420,en-US,MacIntel,0.0176,2012,2014
1066,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/536.30.1 (KHTML, like Gecko) Version/6.0.5 Safari/536.30.1",1440,900,24,-480,en-US,MacIntel,0.0172,2012,2014
1067,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/536.30.1 (KHTML, like Gecko) Version/6.0.5 Safari/536.30.1",1440,900,24,120,de-DE,MacIntel,0.0168,2012,2014
1068,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/536.30.1 (KHTML, like Gecko) Version/6.0.5 Safari/536.30.1",1440,900,24,180,ru-RU,MacIntel,0.0165,2012,2014
1069,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/536.30.1 (KHTML, like Gecko) Version/6.0.5 Safari/536.30.1",1440,900,24,240,ru-RU,MacIntel,0.0162,2012,2014
1070,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/536.30.1 (KHTML, like Gecko) Version/6.0.5 Safari/536.30.1",1280,800,24,0,en-US,MacIntel,0.0158,2012,2014
1071,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/536.30.1 (KHTML, like Gecko) Version/6.0.5 Safari/536.30.1",1280,800,24,-300,en-US,MacIntel,0.0155,2012,2014
1072,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/536.30.1 (KHTML, like Gecko) Version/6.0.5 Safari/536.30.1",1280,800,24,60,en-US,MacIntel,0.0152,2012,2014
1073,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/536.30.1 (KHTML, like Gecko) Version/6.0.5 Safari/536.30.1",1280,800,24,-180,ru-RU,MacIntel,0.0149,2012,2014
1074,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/536.30.1 (KHTML, like Gecko) Version/6.0.5 Safari/536.30.1",1280,800,24,-120,ru-RU,MacIntel,0.0146,2012,2014
1075,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/536.30.1 (KHTML, like Gecko) Version/6.0.5 Safari/536.30.1",1280,800,24,-240,ru-RU,MacIntel,0.0143,2012,2014
1076,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/536.30.1 (KHTML, like Gecko) Version/6.0.5 Safari/536.30.1",1920,1080,24,0,en-US,MacIntel,0.014,2012,2014
1077,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/536.30.1 (KHTML, like Gecko) Version/6.0.5 Safari/536.30.1",1920,1080,24,-300,en-US,MacIntel,0.0137,2012,2014
1078,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/536.30.1 (KHTML, like Gecko) Version/6.0.5 Safari/536.30.1",1920,1080,24,60,en-US,MacIntel,0.0134,2012,2014
1079,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/536.30.1 (KHTML, like Gecko) Version/6.0.5 Safari/536.30.1",1920,1080,24,-180,ru-RU,MacIntel,0.0131,2012,2014
1080,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/536.30.1 (KHTML, like Gecko) Version/6.0.5 Safari/536.30.1",1920,1080,24,-120,ru-RU,MacIntel,0.0129,2012,2014
1081,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/536.30.1 (KHTML, like Gecko) Version/6.0.5 Safari/536.30.1",1366,768,24,0,en-US,MacIntel,0.0126,2012,2014
1082,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/536.30.1 (KHTML, like Gecko) Version/6.0.5 Safari/536.30.1",1366,768,24,-300,en-US,MacIntel,0.0124,2012,2014
1083,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/536.30.1 (KHTML, like Gecko) Version/6.0.5 Safari/536.30.1",1366,768,24,60,en-US,MacIntel,0.0121,2012,2014
1084,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/536.30.1 (KHTML, like Gecko) Version/6.0.5 Safari/536.30.1",1366,768,24,-180,ru-RU,MacIntel,0.0119,2012,2014
1085,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/536.30.1 (KHTML, like Gecko) Version/6.0.5 Safari/536.30.1",1366,768,24,-120,ru-RU,MacIntel,0.0116,2012,2014
1086,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.60 Safari/537.1",1360,768,32,0,en-US,Win32,0.0114,2012,2014
1087,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.60 Safari/537.1",1360,768,32,-300,en-US,Win32,0.0112,2012,2014
1088,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.60 Safari/537.1",1360,768,32,60,en-US,Win32,0.0109,2012,2014
1089,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.60 Safari/537.1",1360,768,32,-180,ru-RU,Win32,0.0107,2012,2014
1090,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.60 Safari/537.1",1360,768,32,-120,ru-RU,Win32,0.0105,2012,2014
1091,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.60 Safari/537.1",1360,768,32,-240,ru-RU,Win32,0.0103,2012,2014
1092,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.60 Safari/537.1",1360,768,32,0,ru-RU,Win32,0.0101,2012,2014
1093,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.60 Safari/537.1",1360,768,32,-420,en-US,Win32,0.0099,2012,2014
1094,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.60 Safari/537.1",1360,768,32,-480,en-US,Win32,0.0097,2012,2014
1095,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.60 Safari/537.1",1360,768,32,-360,en-US,Win32,0.0095,2012,2014
1096,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.60 Safari/537.1",1360,768,32,-540,en-US,Win32,0.0093,2012,2014
1097,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.60 Safari/537.1",1280,720,32,0,en-US,Win32,0.0091,2012,2014
1098,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.60 Safari/537.1",1280,720,32,-300,en-US,Win32,0.0089,2012,2014
1099,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.60 Safari/537.1",1280,720,32,60,en-US,Win32,0.0087,2012,2014
1100,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.60 Safari/537.1",1280,720,32,-180,ru-RU,Win32,0.0085,2012,2014
1101,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.60 Safari/537.1",1280,720,32,-120,ru-RU,Win32,0.0084,2012,2014
1102,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.60 Safari/537.1",1280,720,32,-240,ru-RU,Win32,0.0082,2012,2014
1103,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11",1360,768,32,0,en-US,Win32,0.008,2012,2014
1104,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11",1360,768,32,-300,en-US,Win32,0.0078,2012,2014
1105,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11",1360,768,32,60,en-US,Win32,0.0077,2012,2014
1106,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11",1360,768,32,-180,ru-RU,Win32,0.0075,2012,2014
1107,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11",1360,768,32,-120,ru-RU,Win32,0.0074,2012,2014
1108,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11",1360,768,32,-240,ru-RU,Win32,0.0072,2012,2014
1109,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11",1360,768,32,-420,en-US,Win32,0.0071,2012,2014
1110,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11",1360,768,32,-480,en-US,Win32,0.0069,2012,2014
1111,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11",1360,768,32,-360,en-US,Win32,0.0068,2012,2014
1112,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11",1280,720,32,0,en-US,Win32,0.0066,2012,2014
1113,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11",1280,720,32,-300,en-US,Win32,0.0065,2012,2014
1114,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11",1280,720,32,60,en-US,Win32,0.0063,2012,2014
1115,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11",1280,720,32,-180,ru-RU,Win32,0.0062,2012,2014
1116,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11",1280,720,32,-120,ru-RU,Win32,0.0061,2012,2014
1117,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/15.0.874.120 Safari/535.1",1366,768,32,-180,ru-RU,Win32,0.006,2011,2013
1118,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/15.0.874.120 Safari/535.1",1280,800,32,-180,ru-RU,Win32,0.0058,2011,2013
1119,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/15.0.874.120 Safari/535.1",1920,1080,32,-180,ru-RU,Win32,0.0057,2011,2013
1120,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/15.0.874.120 Safari/535.1",1024,768,24,-180,ru-RU,Win32,0.0056,2011,2013
1121,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/15.0.874.120 Safari/535.1",1440,900,32,-180,ru-RU,Win32,0.0055,2011,2013
1122,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/15.0.874.120 Safari/535.1",1280,1024,32,-180,ru-RU,Win32,0.0054,2011,2013
1123,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/15.0.874.120 Safari/535.1",1600,900,32,-180,ru-RU,Win32,0.0053,2011,2013
1124,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/15.0.874.120 Safari/535.1",1680,1050,32,-180,ru-RU,Win32,0.0052,2011,2013
1125,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.7 (KHTML, like Gecko) Chrome/16.0.912.63 Safari/535.7",1366,768,32,-180,ru-RU,Win32,0.0051,2011,2013
1126,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.7 (KHTML, like Gecko) Chrome/16.0.912.63 Safari/535.7",1280,800,32,-180,ru-RU,Win32,0.005,2011,2013
1127,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.7 (KHTML, like Gecko) Chrome/16.0.912.63 Safari/535.7",1920,1080,32,-180,ru-RU,Win32,0.0049,2011,2013
1128,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.7 (KHTML, like Gecko) Chrome/16.0.912.63 Safari/535.7",1024,768,24,-180,ru-RU,Win32,0.0048,2011,2013
1129,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.7 (KHTML, like Gecko) Chrome/16.0.912.63 Safari/535.7",1440,900,32,-180,ru-RU,Win32,0.0047,2011,2013
1130,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.7 (KHTML, like Gecko) Chrome/16.0.912.63 Safari/535.7",1280,1024,32,-180,ru-RU,Win32,0.0046,2011,2013
1131,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.7 (KHTML, like Gecko) Chrome/16.0.912.63 Safari/535.7",1600,900,32,-180,ru-RU,Win32,0.0045,2011,2013
1132,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.7 (KHTML, like Gecko) Chrome/16.0.912.63 Safari/535.7",1680,1050,32,-180,ru-RU,Win32,0.0044,2011,2013
1133,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/17.0.963.56 Safari/535.11",1366,768,32,-180,ru-RU,Win32,0.0043,2011,2013
1134,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/17.0.963.56 Safari/535.11",1280,800,32,-180,ru-RU,Win32,0.0042,2011,2013
1135,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/17.0.963.56 Safari/535.11",1920,1080,32,-180,ru-RU,Win32,0.0041,2011,2013
1136,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/17.0.963.56 Safari/535.11",1024,768,24,-180,ru-RU,Win32,0.004,2011,2013
1137,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/17.0.963.56 Safari/535.11",1440,900,32,-180,ru-RU,Win32,0.0039,2011,2013
1138,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/17.0.963.56 Safari/535.11",1280,1024,32,-180,ru-RU,Win32,0.0038,2011,2013
1139,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/17.0.963.56 Safari/535.11",1600,900,32,-180,ru-RU,Win32,0.0037,2011,2013
1140,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/17.0.963.56 Safari/535.11",1680,1050,32,-180,ru-RU,Win32,0.0036,2011,2013
